QUESTION_TEXT,QUESTION_SLUG,HAS_ANSWER_SET,IS_MULTIPLE_RESPONSE,ANSWER_VALUE,ANSWER_TEXT,EXTRACT_COLUMN_HEADER,EXTRACT_COLUMN_VALUE,EXTRACT_COLUMN_OTHER
I would intervene if I saw a bias-related incident.,question1-dibs_s2_0623_wouldintervenebiasincident,1,0,1,Strongly disagree,question1-dibs_s2_0623_wouldintervenebiasincident,1,
I would intervene if I saw a bias-related incident.,question1-dibs_s2_0623_wouldintervenebiasincident,1,0,2,Disagree,question1-dibs_s2_0623_wouldintervenebiasincident,2,
I would intervene if I saw a bias-related incident.,question1-dibs_s2_0623_wouldintervenebiasincident,1,0,3,Neutral,question1-dibs_s2_0623_wouldintervenebiasincident,3,
I would intervene if I saw a bias-related incident.,question1-dibs_s2_0623_wouldintervenebiasincident,1,0,4,Agree,question1-dibs_s2_0623_wouldintervenebiasincident,4,
I would intervene if I saw a bias-related incident.,question1-dibs_s2_0623_wouldintervenebiasincident,1,0,5,Strongly agree,question1-dibs_s2_0623_wouldintervenebiasincident,5,
I try to form friendships with people who have different identities than me.,question1-dibs_s2_0623_formfriendshipsdifferentidentities,1,0,1,Strongly disagree,question1-dibs_s2_0623_formfriendshipsdifferentidentities,1,
I try to form friendships with people who have different identities than me.,question1-dibs_s2_0623_formfriendshipsdifferentidentities,1,0,2,Disagree,question1-dibs_s2_0623_formfriendshipsdifferentidentities,2,
I try to form friendships with people who have different identities than me.,question1-dibs_s2_0623_formfriendshipsdifferentidentities,1,0,3,Neutral,question1-dibs_s2_0623_formfriendshipsdifferentidentities,3,
I try to form friendships with people who have different identities than me.,question1-dibs_s2_0623_formfriendshipsdifferentidentities,1,0,4,Agree,question1-dibs_s2_0623_formfriendshipsdifferentidentities,4,
I try to form friendships with people who have different identities than me.,question1-dibs_s2_0623_formfriendshipsdifferentidentities,1,0,5,Strongly agree,question1-dibs_s2_0623_formfriendshipsdifferentidentities,5,
I can identify when someone is engaging in bias-related behavior.,question1-dibs_s2_0623_canidentifywhensomeoneisengaging,1,0,1,Strongly disagree,question1-dibs_s2_0623_canidentifywhensomeoneisengaging,1,
I can identify when someone is engaging in bias-related behavior.,question1-dibs_s2_0623_canidentifywhensomeoneisengaging,1,0,2,Disagree,question1-dibs_s2_0623_canidentifywhensomeoneisengaging,2,
I can identify when someone is engaging in bias-related behavior.,question1-dibs_s2_0623_canidentifywhensomeoneisengaging,1,0,3,Neutral,question1-dibs_s2_0623_canidentifywhensomeoneisengaging,3,
I can identify when someone is engaging in bias-related behavior.,question1-dibs_s2_0623_canidentifywhensomeoneisengaging,1,0,4,Agree,question1-dibs_s2_0623_canidentifywhensomeoneisengaging,4,
I can identify when someone is engaging in bias-related behavior.,question1-dibs_s2_0623_canidentifywhensomeoneisengaging,1,0,5,Strongly agree,question1-dibs_s2_0623_canidentifywhensomeoneisengaging,5,
I am aware of support resources related to bias incidents at my school.,question1-dibs_s2_0623_awareofsupportresources,1,0,1,Strongly disagree,question1-dibs_s2_0623_awareofsupportresources,1,
I am aware of support resources related to bias incidents at my school.,question1-dibs_s2_0623_awareofsupportresources,1,0,2,Disagree,question1-dibs_s2_0623_awareofsupportresources,2,
I am aware of support resources related to bias incidents at my school.,question1-dibs_s2_0623_awareofsupportresources,1,0,3,Neutral,question1-dibs_s2_0623_awareofsupportresources,3,
I am aware of support resources related to bias incidents at my school.,question1-dibs_s2_0623_awareofsupportresources,1,0,4,Agree,question1-dibs_s2_0623_awareofsupportresources,4,
I am aware of support resources related to bias incidents at my school.,question1-dibs_s2_0623_awareofsupportresources,1,0,5,Strongly agree,question1-dibs_s2_0623_awareofsupportresources,5,
I know how to report a bias incident at my school.,question1-dibs_s2_0623_knowhowtoreport,1,0,1,Strongly disagree,question1-dibs_s2_0623_knowhowtoreport,1,
I know how to report a bias incident at my school.,question1-dibs_s2_0623_knowhowtoreport,1,0,2,Disagree,question1-dibs_s2_0623_knowhowtoreport,2,
I know how to report a bias incident at my school.,question1-dibs_s2_0623_knowhowtoreport,1,0,3,Neutral,question1-dibs_s2_0623_knowhowtoreport,3,
I know how to report a bias incident at my school.,question1-dibs_s2_0623_knowhowtoreport,1,0,4,Agree,question1-dibs_s2_0623_knowhowtoreport,4,
I know how to report a bias incident at my school.,question1-dibs_s2_0623_knowhowtoreport,1,0,5,Strongly agree,question1-dibs_s2_0623_knowhowtoreport,5,
I believe that it is important to treat others with respect.,question1-dibs_s2_0623_believeimportanttreatothersrespect,1,0,1,Strongly disagree,question1-dibs_s2_0623_believeimportanttreatothersrespect,1,
I believe that it is important to treat others with respect.,question1-dibs_s2_0623_believeimportanttreatothersrespect,1,0,2,Disagree,question1-dibs_s2_0623_believeimportanttreatothersrespect,2,
I believe that it is important to treat others with respect.,question1-dibs_s2_0623_believeimportanttreatothersrespect,1,0,3,Neutral,question1-dibs_s2_0623_believeimportanttreatothersrespect,3,
I believe that it is important to treat others with respect.,question1-dibs_s2_0623_believeimportanttreatothersrespect,1,0,4,Agree,question1-dibs_s2_0623_believeimportanttreatothersrespect,4,
I believe that it is important to treat others with respect.,question1-dibs_s2_0623_believeimportanttreatothersrespect,1,0,5,Strongly agree,question1-dibs_s2_0623_believeimportanttreatothersrespect,5,
I feel comfortable reporting a bias incident to the appropriate people at my school.,question1-dibs_s2_0623_comfortablereportingbiasincident,1,0,1,Strongly disagree,question1-dibs_s2_0623_comfortablereportingbiasincident,1,
I feel comfortable reporting a bias incident to the appropriate people at my school.,question1-dibs_s2_0623_comfortablereportingbiasincident,1,0,2,Disagree,question1-dibs_s2_0623_comfortablereportingbiasincident,2,
I feel comfortable reporting a bias incident to the appropriate people at my school.,question1-dibs_s2_0623_comfortablereportingbiasincident,1,0,3,Neutral,question1-dibs_s2_0623_comfortablereportingbiasincident,3,
I feel comfortable reporting a bias incident to the appropriate people at my school.,question1-dibs_s2_0623_comfortablereportingbiasincident,1,0,4,Agree,question1-dibs_s2_0623_comfortablereportingbiasincident,4,
I feel comfortable reporting a bias incident to the appropriate people at my school.,question1-dibs_s2_0623_comfortablereportingbiasincident,1,0,5,Strongly agree,question1-dibs_s2_0623_comfortablereportingbiasincident,5,
I would respect a person who spoke up if someone was engaging in bias-related behavior.,question1-dibs_s2_0623_wouldrespectapersonwhospokeup,1,0,1,Strongly disagree,question1-dibs_s2_0623_wouldrespectapersonwhospokeup,1,
I would respect a person who spoke up if someone was engaging in bias-related behavior.,question1-dibs_s2_0623_wouldrespectapersonwhospokeup,1,0,2,Disagree,question1-dibs_s2_0623_wouldrespectapersonwhospokeup,2,
I would respect a person who spoke up if someone was engaging in bias-related behavior.,question1-dibs_s2_0623_wouldrespectapersonwhospokeup,1,0,3,Neutral,question1-dibs_s2_0623_wouldrespectapersonwhospokeup,3,
I would respect a person who spoke up if someone was engaging in bias-related behavior.,question1-dibs_s2_0623_wouldrespectapersonwhospokeup,1,0,4,Agree,question1-dibs_s2_0623_wouldrespectapersonwhospokeup,4,
I would respect a person who spoke up if someone was engaging in bias-related behavior.,question1-dibs_s2_0623_wouldrespectapersonwhospokeup,1,0,5,Strongly agree,question1-dibs_s2_0623_wouldrespectapersonwhospokeup,5,
"My classmates value a diverse, inclusive, and equitable campus community.",question2-dibs_s2_0623_classmatesvaluedeicampus,1,0,1,Strongly disagree,question2-dibs_s2_0623_classmatesvaluedeicampus,1,
"My classmates value a diverse, inclusive, and equitable campus community.",question2-dibs_s2_0623_classmatesvaluedeicampus,1,0,2,Disagree,question2-dibs_s2_0623_classmatesvaluedeicampus,2,
"My classmates value a diverse, inclusive, and equitable campus community.",question2-dibs_s2_0623_classmatesvaluedeicampus,1,0,3,Neutral,question2-dibs_s2_0623_classmatesvaluedeicampus,3,
"My classmates value a diverse, inclusive, and equitable campus community.",question2-dibs_s2_0623_classmatesvaluedeicampus,1,0,4,Agree,question2-dibs_s2_0623_classmatesvaluedeicampus,4,
"My classmates value a diverse, inclusive, and equitable campus community.",question2-dibs_s2_0623_classmatesvaluedeicampus,1,0,5,Strongly agree,question2-dibs_s2_0623_classmatesvaluedeicampus,5,
I am confident in my ability to act as an ally to others at my school.??,question2-dibs_s2_0623_confidentinabilitytoactasally,1,0,1,Strongly disagree,question2-dibs_s2_0623_confidentinabilitytoactasally,1,
I am confident in my ability to act as an ally to others at my school.??,question2-dibs_s2_0623_confidentinabilitytoactasally,1,0,2,Disagree,question2-dibs_s2_0623_confidentinabilitytoactasally,2,
I am confident in my ability to act as an ally to others at my school.??,question2-dibs_s2_0623_confidentinabilitytoactasally,1,0,3,Neutral,question2-dibs_s2_0623_confidentinabilitytoactasally,3,
I am confident in my ability to act as an ally to others at my school.??,question2-dibs_s2_0623_confidentinabilitytoactasally,1,0,4,Agree,question2-dibs_s2_0623_confidentinabilitytoactasally,4,
I am confident in my ability to act as an ally to others at my school.??,question2-dibs_s2_0623_confidentinabilitytoactasally,1,0,5,Strongly agree,question2-dibs_s2_0623_confidentinabilitytoactasally,5,
"I engage with diverse opinions, cultures, and values at my school.",question2-dibs_s2_0623_engagewithdiverseopinionsculturesvalues,1,0,1,Strongly disagree,question2-dibs_s2_0623_engagewithdiverseopinionsculturesvalues,1,
"I engage with diverse opinions, cultures, and values at my school.",question2-dibs_s2_0623_engagewithdiverseopinionsculturesvalues,1,0,2,Disagree,question2-dibs_s2_0623_engagewithdiverseopinionsculturesvalues,2,
"I engage with diverse opinions, cultures, and values at my school.",question2-dibs_s2_0623_engagewithdiverseopinionsculturesvalues,1,0,3,Neutral,question2-dibs_s2_0623_engagewithdiverseopinionsculturesvalues,3,
"I engage with diverse opinions, cultures, and values at my school.",question2-dibs_s2_0623_engagewithdiverseopinionsculturesvalues,1,0,4,Agree,question2-dibs_s2_0623_engagewithdiverseopinionsculturesvalues,4,
"I engage with diverse opinions, cultures, and values at my school.",question2-dibs_s2_0623_engagewithdiverseopinionsculturesvalues,1,0,5,Strongly agree,question2-dibs_s2_0623_engagewithdiverseopinionsculturesvalues,5,
My school is an inclusive place for people with disabilities.??,question2-dibs_s2_0623_myschoolisaninclusiveplace,1,0,1,Strongly disagree,question2-dibs_s2_0623_myschoolisaninclusiveplace,1,
My school is an inclusive place for people with disabilities.??,question2-dibs_s2_0623_myschoolisaninclusiveplace,1,0,2,Disagree,question2-dibs_s2_0623_myschoolisaninclusiveplace,2,
My school is an inclusive place for people with disabilities.??,question2-dibs_s2_0623_myschoolisaninclusiveplace,1,0,3,Neutral,question2-dibs_s2_0623_myschoolisaninclusiveplace,3,
My school is an inclusive place for people with disabilities.??,question2-dibs_s2_0623_myschoolisaninclusiveplace,1,0,4,Agree,question2-dibs_s2_0623_myschoolisaninclusiveplace,4,
My school is an inclusive place for people with disabilities.??,question2-dibs_s2_0623_myschoolisaninclusiveplace,1,0,5,Strongly agree,question2-dibs_s2_0623_myschoolisaninclusiveplace,5,
"My school takes diversity, equity, and inclusion issues seriously.",question2-dibs_s2_0623_myschooltakesdeiseriously,1,0,1,Strongly disagree,question2-dibs_s2_0623_myschooltakesdeiseriously,1,
"My school takes diversity, equity, and inclusion issues seriously.",question2-dibs_s2_0623_myschooltakesdeiseriously,1,0,2,Disagree,question2-dibs_s2_0623_myschooltakesdeiseriously,2,
"My school takes diversity, equity, and inclusion issues seriously.",question2-dibs_s2_0623_myschooltakesdeiseriously,1,0,3,Neutral,question2-dibs_s2_0623_myschooltakesdeiseriously,3,
"My school takes diversity, equity, and inclusion issues seriously.",question2-dibs_s2_0623_myschooltakesdeiseriously,1,0,4,Agree,question2-dibs_s2_0623_myschooltakesdeiseriously,4,
"My school takes diversity, equity, and inclusion issues seriously.",question2-dibs_s2_0623_myschooltakesdeiseriously,1,0,5,Strongly agree,question2-dibs_s2_0623_myschooltakesdeiseriously,5,
How important was the course content to you?,15407-Row 1,1,0,1,Not important,15407-Row 1,1,
How important was the course content to you?,15407-Row 1,1,0,2,Mostly not important,15407-Row 1,2,
How important was the course content to you?,15407-Row 1,1,0,3,Neutral,15407-Row 1,3,
How important was the course content to you?,15407-Row 1,1,0,4,Important,15407-Row 1,4,
How important was the course content to you?,15407-Row 1,1,0,5,Very important,15407-Row 1,5,
How easy or difficult was it for you to understand the course content?,15408-Row 1,1,0,1,Very difficult,15408-Row 1,1,
How easy or difficult was it for you to understand the course content?,15408-Row 1,1,0,2,Somewhat difficult,15408-Row 1,2,
How easy or difficult was it for you to understand the course content?,15408-Row 1,1,0,3,About right,15408-Row 1,3,
How easy or difficult was it for you to understand the course content?,15408-Row 1,1,0,4,Somewhat easy,15408-Row 1,4,
How easy or difficult was it for you to understand the course content?,15408-Row 1,1,0,5,Very easy,15408-Row 1,5,
"How easy or difficult was it for you to use this course (sign in, progress through the course, etc.)?",15408-Row 2,1,0,1,Very difficult,15408-Row 2,1,
"How easy or difficult was it for you to use this course (sign in, progress through the course, etc.)?",15408-Row 2,1,0,2,Somewhat difficult,15408-Row 2,2,
"How easy or difficult was it for you to use this course (sign in, progress through the course, etc.)?",15408-Row 2,1,0,3,About right,15408-Row 2,3,
"How easy or difficult was it for you to use this course (sign in, progress through the course, etc.)?",15408-Row 2,1,0,4,Somewhat easy,15408-Row 2,4,
"How easy or difficult was it for you to use this course (sign in, progress through the course, etc.)?",15408-Row 2,1,0,5,Very easy,15408-Row 2,5,
How engaging did you find this course?,15410-Row 1,1,0,1,Not engaging at all,15410-Row 1,1,
How engaging did you find this course?,15410-Row 1,1,0,2,Mostly not engaging,15410-Row 1,2,
How engaging did you find this course?,15410-Row 1,1,0,3,Neutral,15410-Row 1,3,
How engaging did you find this course?,15410-Row 1,1,0,4,Mostly engaging,15410-Row 1,4,
How engaging did you find this course?,15410-Row 1,1,0,5,Very engaging,15410-Row 1,5,
Do you think that other students at your institution can benefit from this course?,15411,1,0,1,Yes,15411,1,
Do you think that other students at your institution can benefit from this course?,15411,1,0,2,No,15411,2,
Do you think that other students at your institution can benefit from this course?,15411,1,0,3,Not sure,15411,3,
"The course increased my knowledge about diversity, equity, and inclusion.",15397-dibs_s2_0623_CIincreasedknowledgedei,1,0,1,Strongly disagree,15397-dibs_s2_0623_CIincreasedknowledgedei,1,
"The course increased my knowledge about diversity, equity, and inclusion.",15397-dibs_s2_0623_CIincreasedknowledgedei,1,0,2,Disagree,15397-dibs_s2_0623_CIincreasedknowledgedei,2,
"The course increased my knowledge about diversity, equity, and inclusion.",15397-dibs_s2_0623_CIincreasedknowledgedei,1,0,3,Neutral,15397-dibs_s2_0623_CIincreasedknowledgedei,3,
"The course increased my knowledge about diversity, equity, and inclusion.",15397-dibs_s2_0623_CIincreasedknowledgedei,1,0,4,Agree,15397-dibs_s2_0623_CIincreasedknowledgedei,4,
"The course increased my knowledge about diversity, equity, and inclusion.",15397-dibs_s2_0623_CIincreasedknowledgedei,1,0,5,Strongly Agree,15397-dibs_s2_0623_CIincreasedknowledgedei,5,
"The course increased my interest in learning more about diversity, equity, and inclusion.",15397-dibs_s2_0623_CIincreasedinterestinlearningdei,1,0,1,Strongly disagree,15397-dibs_s2_0623_CIincreasedinterestinlearningdei,1,
"The course increased my interest in learning more about diversity, equity, and inclusion.",15397-dibs_s2_0623_CIincreasedinterestinlearningdei,1,0,2,Disagree,15397-dibs_s2_0623_CIincreasedinterestinlearningdei,2,
"The course increased my interest in learning more about diversity, equity, and inclusion.",15397-dibs_s2_0623_CIincreasedinterestinlearningdei,1,0,3,Neutral,15397-dibs_s2_0623_CIincreasedinterestinlearningdei,3,
"The course increased my interest in learning more about diversity, equity, and inclusion.",15397-dibs_s2_0623_CIincreasedinterestinlearningdei,1,0,4,Agree,15397-dibs_s2_0623_CIincreasedinterestinlearningdei,4,
"The course increased my interest in learning more about diversity, equity, and inclusion.",15397-dibs_s2_0623_CIincreasedinterestinlearningdei,1,0,5,Strongly Agree,15397-dibs_s2_0623_CIincreasedinterestinlearningdei,5,
"As a result of taking this course, my openness to discussing diversity, equity, and inclusion with other students has increased.",15397-dibs_s2_0623_CIopennesstodiscussingdei,1,0,1,Strongly disagree,15397-dibs_s2_0623_CIopennesstodiscussingdei,1,
"As a result of taking this course, my openness to discussing diversity, equity, and inclusion with other students has increased.",15397-dibs_s2_0623_CIopennesstodiscussingdei,1,0,2,Disagree,15397-dibs_s2_0623_CIopennesstodiscussingdei,2,
"As a result of taking this course, my openness to discussing diversity, equity, and inclusion with other students has increased.",15397-dibs_s2_0623_CIopennesstodiscussingdei,1,0,3,Neutral,15397-dibs_s2_0623_CIopennesstodiscussingdei,3,
"As a result of taking this course, my openness to discussing diversity, equity, and inclusion with other students has increased.",15397-dibs_s2_0623_CIopennesstodiscussingdei,1,0,4,Agree,15397-dibs_s2_0623_CIopennesstodiscussingdei,4,
"As a result of taking this course, my openness to discussing diversity, equity, and inclusion with other students has increased.",15397-dibs_s2_0623_CIopennesstodiscussingdei,1,0,5,Strongly Agree,15397-dibs_s2_0623_CIopennesstodiscussingdei,5,
The course increased my preparedness to engage in ally behavior.??,15397-dibs_s2_0623_CIpreparednessengageally,1,0,1,Strongly disagree,15397-dibs_s2_0623_CIpreparednessengageally,1,
The course increased my preparedness to engage in ally behavior.??,15397-dibs_s2_0623_CIpreparednessengageally,1,0,2,Disagree,15397-dibs_s2_0623_CIpreparednessengageally,2,
The course increased my preparedness to engage in ally behavior.??,15397-dibs_s2_0623_CIpreparednessengageally,1,0,3,Neutral,15397-dibs_s2_0623_CIpreparednessengageally,3,
The course increased my preparedness to engage in ally behavior.??,15397-dibs_s2_0623_CIpreparednessengageally,1,0,4,Agree,15397-dibs_s2_0623_CIpreparednessengageally,4,
The course increased my preparedness to engage in ally behavior.??,15397-dibs_s2_0623_CIpreparednessengageally,1,0,5,Strongly Agree,15397-dibs_s2_0623_CIpreparednessengageally,5,
"As a result of taking this course, I am more likely to act inclusively.??",15397-dibs_s2_0623_CImorelikelyactinclusively,1,0,1,Strongly disagree,15397-dibs_s2_0623_CImorelikelyactinclusively,1,
"As a result of taking this course, I am more likely to act inclusively.??",15397-dibs_s2_0623_CImorelikelyactinclusively,1,0,2,Disagree,15397-dibs_s2_0623_CImorelikelyactinclusively,2,
"As a result of taking this course, I am more likely to act inclusively.??",15397-dibs_s2_0623_CImorelikelyactinclusively,1,0,3,Neutral,15397-dibs_s2_0623_CImorelikelyactinclusively,3,
"As a result of taking this course, I am more likely to act inclusively.??",15397-dibs_s2_0623_CImorelikelyactinclusively,1,0,4,Agree,15397-dibs_s2_0623_CImorelikelyactinclusively,4,
"As a result of taking this course, I am more likely to act inclusively.??",15397-dibs_s2_0623_CImorelikelyactinclusively,1,0,5,Strongly Agree,15397-dibs_s2_0623_CImorelikelyactinclusively,5,
The course increased my understanding of the importance of self-care.??,15397-dibs_s2_0623_CIincreasedunderstandingselfcare,1,0,1,Strongly disagree,15397-dibs_s2_0623_CIincreasedunderstandingselfcare,1,
The course increased my understanding of the importance of self-care.??,15397-dibs_s2_0623_CIincreasedunderstandingselfcare,1,0,2,Disagree,15397-dibs_s2_0623_CIincreasedunderstandingselfcare,2,
The course increased my understanding of the importance of self-care.??,15397-dibs_s2_0623_CIincreasedunderstandingselfcare,1,0,3,Neutral,15397-dibs_s2_0623_CIincreasedunderstandingselfcare,3,
The course increased my understanding of the importance of self-care.??,15397-dibs_s2_0623_CIincreasedunderstandingselfcare,1,0,4,Agree,15397-dibs_s2_0623_CIincreasedunderstandingselfcare,4,
The course increased my understanding of the importance of self-care.??,15397-dibs_s2_0623_CIincreasedunderstandingselfcare,1,0,5,Strongly Agree,15397-dibs_s2_0623_CIincreasedunderstandingselfcare,5,
The course increased my understanding of what I need to do to engage in self-care.,15397-dibs_s2_0623_CIincreasedunderstandingwhatIneedtodoselfcare,1,0,1,Strongly disagree,15397-dibs_s2_0623_CIincreasedunderstandingwhatIneedtodoselfcare,1,
The course increased my understanding of what I need to do to engage in self-care.,15397-dibs_s2_0623_CIincreasedunderstandingwhatIneedtodoselfcare,1,0,2,Disagree,15397-dibs_s2_0623_CIincreasedunderstandingwhatIneedtodoselfcare,2,
The course increased my understanding of what I need to do to engage in self-care.,15397-dibs_s2_0623_CIincreasedunderstandingwhatIneedtodoselfcare,1,0,3,Neutral,15397-dibs_s2_0623_CIincreasedunderstandingwhatIneedtodoselfcare,3,
The course increased my understanding of what I need to do to engage in self-care.,15397-dibs_s2_0623_CIincreasedunderstandingwhatIneedtodoselfcare,1,0,4,Agree,15397-dibs_s2_0623_CIincreasedunderstandingwhatIneedtodoselfcare,4,
The course increased my understanding of what I need to do to engage in self-care.,15397-dibs_s2_0623_CIincreasedunderstandingwhatIneedtodoselfcare,1,0,5,Strongly Agree,15397-dibs_s2_0623_CIincreasedunderstandingwhatIneedtodoselfcare,5,
"As a result of taking this course, I am more likely to interact with people who are different from me.??",15397-dibs_s2_0623_CIinteractwithpeoplewhoaredifferent,1,0,1,Strongly disagree,15397-dibs_s2_0623_CIinteractwithpeoplewhoaredifferent,1,
"As a result of taking this course, I am more likely to interact with people who are different from me.??",15397-dibs_s2_0623_CIinteractwithpeoplewhoaredifferent,1,0,2,Disagree,15397-dibs_s2_0623_CIinteractwithpeoplewhoaredifferent,2,
"As a result of taking this course, I am more likely to interact with people who are different from me.??",15397-dibs_s2_0623_CIinteractwithpeoplewhoaredifferent,1,0,3,Neutral,15397-dibs_s2_0623_CIinteractwithpeoplewhoaredifferent,3,
"As a result of taking this course, I am more likely to interact with people who are different from me.??",15397-dibs_s2_0623_CIinteractwithpeoplewhoaredifferent,1,0,4,Agree,15397-dibs_s2_0623_CIinteractwithpeoplewhoaredifferent,4,
"As a result of taking this course, I am more likely to interact with people who are different from me.??",15397-dibs_s2_0623_CIinteractwithpeoplewhoaredifferent,1,0,5,Strongly Agree,15397-dibs_s2_0623_CIinteractwithpeoplewhoaredifferent,5,
"As a result of taking this course, I am more likely to reflect on my own power and privilege.??",15397-dibs_s2_0623_CIreflectonmypowerprivilege,1,0,1,Strongly disagree,15397-dibs_s2_0623_CIreflectonmypowerprivilege,1,
"As a result of taking this course, I am more likely to reflect on my own power and privilege.??",15397-dibs_s2_0623_CIreflectonmypowerprivilege,1,0,2,Disagree,15397-dibs_s2_0623_CIreflectonmypowerprivilege,2,
"As a result of taking this course, I am more likely to reflect on my own power and privilege.??",15397-dibs_s2_0623_CIreflectonmypowerprivilege,1,0,3,Neutral,15397-dibs_s2_0623_CIreflectonmypowerprivilege,3,
"As a result of taking this course, I am more likely to reflect on my own power and privilege.??",15397-dibs_s2_0623_CIreflectonmypowerprivilege,1,0,4,Agree,15397-dibs_s2_0623_CIreflectonmypowerprivilege,4,
"As a result of taking this course, I am more likely to reflect on my own power and privilege.??",15397-dibs_s2_0623_CIreflectonmypowerprivilege,1,0,5,Strongly Agree,15397-dibs_s2_0623_CIreflectonmypowerprivilege,5,
What did you like best about this course?????,dibs_s2_0623_likebestaboutcourse,0,0,,,dibs_s2_0623_likebestaboutcourse,,
What could we do to improve this course???,dibs_s2_0623_improvecourse,0,0,,,dibs_s2_0623_improvecourse,,
